"L1","L2","L3","L4a","L4b","L5","impact_category","q025","q25","q50","q75","q975"
0,0,0,0,0,0,"chemical releases/haps/kg",156045658.804876,159891157.098607,162109484.777835,165069385.830846,169732948.922227
0,0,0,0,0,0,"chemical releases/metl/kg",1372017.62259912,1411760.70801447,1439185.5615679,1466946.94491745,1502747.53289845
0,0,0,0,0,0,"chemical releases/pest/kg",81799677.8735589,81941935.1237745,82033578.3748126,82110116.3837553,82299755.3874705
0,0,0,0,0,0,"economic & social/jobs/jobs",25380132.6323971,25981870.1041473,26392786.2932071,26731493.196565,27189153.2391034
0,0,0,0,0,0,"economic & social/vadd/$",1708444464835.23,1772203547814.51,1804884737337.57,1845049362864.63,1915446114997.65
0,0,0,0,0,0,"impact potential/acid/kg so2 eq",6364725128.22845,6423460520.64102,6451848048.26938,6487186694.1183,6551578977.97104
0,0,0,0,0,0,"impact potential/etox/ctue",2571681399077.07,2577303292903.11,2579988459735.37,2583530029048.15,2591765889498.6
0,0,0,0,0,0,"impact potential/eutr/kg n eq",2914886892.83587,2936590295.025,2949576894.11779,2960757961.52361,2981436685.47944
0,0,0,0,0,0,"impact potential/gcc/kg co2 eq",1061890484311.34,1076697897607.4,1085844271203.22,1095242454587.29,1112200537750.84
0,0,0,0,0,0,"impact potential/hc/ctuh",184.651446740328,189.210432548324,191.737563168359,193.792719794257,199.324418256966
0,0,0,0,0,0,"impact potential/hnc/ctuh",977.609547053321,1002.25674163911,1015.88631703624,1026.22036420932,1050.72847922426
0,0,0,0,0,0,"impact potential/hrsp/kg pm2.5 eq",1253874947.74439,1261941894.68377,1266945214.4733,1271167435.2229,1280161805.58226
0,0,0,0,0,0,"impact potential/htox/ctuh",1162.10070910364,1191.02536171729,1207.95690491392,1219.9361493461,1250.09529648655
0,0,0,0,0,0,"impact potential/ozon/kg cfc11 eq",345842.622209871,348874.848093449,350188.804577439,351872.034970633,354943.706012875
0,0,0,0,0,0,"impact potential/smog/kg o3 eq",42220845838.2474,43333934559.8382,43804179462.3508,44339007618.035,45789287021.6474
0,0,0,0,0,0,"resource use/enrg/mj",10311153560828.6,10663667863292.7,10866476527981.2,11085778615222.3,11417344641341.2
0,0,0,0,0,0,"resource use/land/m2*yr",3465892536679,3484264639051.63,3494157907234.65,3504721775850.28,3521016259537.91
0,0,0,0,0,0,"resource use/mine/kg",136842020884.819,140397388238.335,142297730557.941,144723782652.976,147619225233.497
0,0,0,0,0,0,"resource use/nren/mj",8844557012256.51,9164369073042.5,9352669471861.66,9555902258908.83,9861195923326.96
0,0,0,0,0,0,"resource use/ren/mj",1470757896235.75,1498510909764.93,1511070240542,1531310359286.08,1563034796182.53
0,0,0,0,0,0,"resource use/watr/m3",129171141462.237,129990441743.697,130699395249.783,131243552481.33,132684032190.763
0,0,0,0,0,0.5,"chemical releases/haps/kg",152050511.959219,156499134.853044,158514062.725777,161336220.141919,166697745.550432
0,0,0,0,0,0.5,"chemical releases/metl/kg",1307246.45516034,1350851.51004848,1377456.49799227,1403634.20452661,1446961.93867032
0,0,0,0,0,0.5,"chemical releases/pest/kg",75277365.3311499,76379803.4587977,76802708.5992951,77272341.344885,78199292.5895983
0,0,0,0,0,0.5,"economic & social/jobs/jobs",25089790.8090604,25716750.8461366,26054387.3039875,26412411.3218031,26835633.9519449
0,0,0,0,0,0.5,"economic & social/vadd/$",1682439605073.84,1748396319645.93,1776945878112.93,1814261500284.26,1890686233065.61
0,0,0,0,0,0.5,"impact potential/acid/kg so2 eq",6148522557.13313,6249306456.29755,6276968833.24907,6306258490.07132,6375240029.08732
0,0,0,0,0,0.5,"impact potential/etox/ctue",2371170614321.81,2406030051512.2,2418972858893.99,2433779173897.08,2463530937464.66
0,0,0,0,0,0.5,"impact potential/eutr/kg n eq",2808453940.25455,2833592282.69564,2847036620.26698,2862214168.77104,2889964406.57792
0,0,0,0,0,0.5,"impact potential/gcc/kg co2 eq",1031747264163.82,1053676988175.68,1061266705281.32,1068872945141.9,1088905595922.01
0,0,0,0,0,0.5,"impact potential/hc/ctuh",179.796209335599,184.851482021787,187.029112921805,188.939430805154,194.179931924819
0,0,0,0,0,0.5,"impact potential/hnc/ctuh",941.876982749609,969.726268667092,980.044344750269,990.48430414434,1017.54669103416
0,0,0,0,0,0.5,"impact potential/hrsp/kg pm2.5 eq",1207487313.64271,1220226053.09979,1225102549.28786,1229346423.62295,1243062572.7462
0,0,0,0,0,0.5,"impact potential/htox/ctuh",1121.67989254518,1154.89422406706,1167.22934951487,1179.16112788757,1211.94229310419
0,0,0,0,0,0.5,"impact potential/ozon/kg cfc11 eq",317338.47241679,323322.799337386,326148.099550679,328924.175240527,335784.455904597
0,0,0,0,0,0.5,"impact potential/smog/kg o3 eq",41209240961.3439,42276982671.0692,42788864108.0331,43345580092.3047,44640954964.7925
0,0,0,0,0,0.5,"resource use/enrg/mj",10123779032143.5,10473507603666.4,10676826105413.6,10889808900179.2,11206716984149.9
0,0,0,0,0,0.5,"resource use/land/m2*yr",3332238198043.05,3371189398726.07,3391878712710.42,3408324130171.57,3436995590624.71
0,0,0,0,0,0.5,"resource use/mine/kg",132774470668.714,136737888143.739,138863133372.427,140952960094.089,144324180967.762
0,0,0,0,0,0.5,"resource use/nren/mj",8680637484073.41,8996039238180.9,9186114471615.92,9384485240212.7,9677082600295.09
0,0,0,0,0,0.5,"resource use/ren/mj",1442551650817.97,1473613525451.2,1485870367344.94,1504779122051.86,1538187018134.89
0,0,0,0,0,0.5,"resource use/watr/m3",123206937998.58,124785625944.971,125391410190.573,125840480510.374,127743721819.241
0,0,0,0,0,1,"chemical releases/haps/kg",148452351.789692,153419015.627819,155645887.363359,158179173.561654,163934808.826722
0,0,0,0,0,1,"chemical releases/metl/kg",1250765.77883768,1298073.565343,1325956.71881036,1349217.58401168,1400119.00055047
0,0,0,0,0,1,"chemical releases/pest/kg",70027183.577262,71720854.0526535,72408499.9203421,73215873.3032528,74720621.5468824
0,0,0,0,0,1,"economic & social/jobs/jobs",24758046.252055,25451130.5092521,25756523.4369224,26113659.3988766,26539953.1688413
0,0,0,0,0,1,"economic & social/vadd/$",1658899559449.18,1724730762340.24,1752691842399.72,1787805070203.51,1867566203434.48
0,0,0,0,0,1,"impact potential/acid/kg so2 eq",5966387179.95698,6073240568.7012,6119637928.12599,6161025522.16762,6245191565.02989
0,0,0,0,0,1,"impact potential/etox/ctue",2209470134879.25,2263536698779.14,2283367967685.19,2309260824911.12,2356578712778.89
0,0,0,0,0,1,"impact potential/eutr/kg n eq",2704078895.68427,2739896427.18946,2757705563.85582,2779395152.64026,2812669491.39379
0,0,0,0,0,1,"impact potential/gcc/kg co2 eq",1007839113813.39,1031161056221.49,1039138359740.3,1046642243602.54,1067740108955.82
0,0,0,0,0,1,"impact potential/hc/ctuh",175.256179628766,180.697345914913,182.656166827419,184.863118690215,189.92078994422
0,0,0,0,0,1,"impact potential/hnc/ctuh",909.268640492048,939.864358968384,949.773984952327,960.457059318828,989.854723931404
0,0,0,0,0,1,"impact potential/hrsp/kg pm2.5 eq",1164639500.96568,1180385783.42405,1187638882.4011,1194191813.88614,1210815775.63662
0,0,0,0,0,1,"impact potential/htox/ctuh",1084.76731093845,1120.87872357036,1132.61992439477,1145.0573792377,1179.84890930508
0,0,0,0,0,1,"impact potential/ozon/kg cfc11 eq",294422.655363823,301812.211310076,306312.523135783,310643.052725959,320550.428371679
0,0,0,0,0,1,"impact potential/smog/kg o3 eq",40194401439.3149,41391717522.7092,41902685732.0013,42385999095.4013,43606686684.8051
0,0,0,0,0,1,"resource use/enrg/mj",9925960092710.25,10294673293963.8,10516706309118.8,10713569096175.1,11050729434188.1
0,0,0,0,0,1,"resource use/land/m2*yr",3196183027252.33,3258328570012.79,3299945151141.07,3325846751742.22,3373295240031.64
0,0,0,0,0,1,"resource use/mine/kg",129101201516.665,133412127412.663,135829667894.222,137748706411.484,141429145485.269
0,0,0,0,0,1,"resource use/nren/mj",8510748010206.48,8844442072997.73,9047222558798.66,9229600534793.51,9533139070597.35
0,0,0,0,0,1,"resource use/ren/mj",1415613446628.43,1450170002885.59,1463058829649.64,1481317644404.24,1515399671590.74
0,0,0,0,0,1,"resource use/watr/m3",117843798569.719,120220987860.695,120651429365.974,121553397795.601,123473302691.927
0,0,0,0,0.5,0,"chemical releases/haps/kg",155994466.09244,159816971.419884,162050252.464606,164982267.819652,169651121.775392
0,0,0,0,0.5,0,"chemical releases/metl/kg",1371768.31095546,1411472.20409288,1438679.32295094,1466584.39392303,1502334.10429208
0,0,0,0,0.5,0,"chemical releases/pest/kg",81796617.2410848,81937492.8043611,82028553.2912528,82105048.7467515,82291821.7015542
0,0,0,0,0.5,0,"economic & social/jobs/jobs",25368172.6954337,25967443.547436,26369479.9326392,26709467.893841,27167000.8923248
0,0,0,0,0.5,0,"economic & social/vadd/$",1707776282252.32,1771509135722.91,1804047297096.3,1844025387676.56,1914669129515.31
0,0,0,0,0.5,0,"impact potential/acid/kg so2 eq",6363682119.0404,6422048999.69092,6450299468.03605,6485505336.21595,6549709291.09493
0,0,0,0,0.5,0,"impact potential/etox/ctue",2571579997043.26,2577176095795.85,2579846218564.99,2583366667745.65,2591523833816.34
0,0,0,0,0.5,0,"impact potential/eutr/kg n eq",2914395245.07158,2935993313.96512,2948993124.38823,2959980044.69096,2980599877.10448
0,0,0,0,0.5,0,"impact potential/gcc/kg co2 eq",1061614842487.57,1076373412318.11,1085440135522,1094760476634.72,1111636876771.02
0,0,0,0,0.5,0,"impact potential/hc/ctuh",184.607266285795,189.142690415246,191.640474033444,193.733373366036,199.243912732747
0,0,0,0,0.5,0,"impact potential/hnc/ctuh",977.369476364365,1001.93811648843,1015.28683593639,1025.57986263384,1050.22724579461
0,0,0,0,0.5,0,"impact potential/hrsp/kg pm2.5 eq",1253728496.54345,1261723118.2976,1266717374.40167,1270916500.0374,1279928018.46323
0,0,0,0,0.5,0,"impact potential/htox/ctuh",1161.81966714773,1190.64570044361,1207.25611757736,1219.18819083289,1249.53574948906
0,0,0,0,0.5,0,"impact potential/ozon/kg cfc11 eq",345799.255074139,348794.914953218,350128.38472798,351781.45262946,354871.758837302
0,0,0,0,0.5,0,"impact potential/smog/kg o3 eq",42208632349.2225,43316671679.3993,43783888157.6576,44325659406.9988,45773819766.7968
0,0,0,0,0.5,0,"resource use/enrg/mj",10307154948172.9,10658359084216.8,10859369317555.2,11077007728317,11406494971888.2
0,0,0,0,0.5,0,"resource use/land/m2*yr",3465428355915.65,3483762556858.4,3493560770958.67,3503937083274.33,3520127617462.69
0,0,0,0,0.5,0,"resource use/mine/kg",136787943041.758,140316171411.663,142199614262.523,144618654044.135,147491357291.021
0,0,0,0,0.5,0,"resource use/nren/mj",8841015316542.38,9158766429475.09,9346018950713.86,9545200218729.92,9851171623467.24
0,0,0,0,0.5,0,"resource use/ren/mj",1470290349930.83,1497564411588.43,1510423067519.68,1530329801104.93,1562025612503.21
0,0,0,0,0.5,0,"resource use/watr/m3",129153056442.835,129970352489.124,130665379693.836,131213199672.876,132655952409.815
0,0,0,0,0.5,0.5,"chemical releases/haps/kg",152000424.131827,156445661.514972,158444549.000655,161276225.069872,166615927.368091
0,0,0,0,0.5,0.5,"chemical releases/metl/kg",1306997.17736753,1350577.00596873,1376974.68063944,1403016.13457246,1446533.88928753
0,0,0,0,0.5,0.5,"chemical releases/pest/kg",75272588.2513897,76373708.6451687,76796130.0380531,77266601.7956781,78194011.1045203
0,0,0,0,0.5,0.5,"economic & social/jobs/jobs",25076058.039519,25695893.7305209,26038661.7870366,26380939.9385498,26813714.3030074
0,0,0,0,0.5,0.5,"economic & social/vadd/$",1681771490143.16,1747374209425.3,1776108509310.63,1813485739906.31,1889909329036.93
0,0,0,0,0.5,0.5,"impact potential/acid/kg so2 eq",6147624536.70291,6247857073.48587,6275810673.57791,6304688727.83977,6373334919.51313
0,0,0,0,0.5,0.5,"impact potential/etox/ctue",2371020439721.41,2405905718845.73,2418800256131.57,2433616153073.95,2463348703538.56
0,0,0,0,0.5,0.5,"impact potential/eutr/kg n eq",2807874322.6184,2833044093.8781,2846502089.98452,2861501423.37098,2889167156.51964
0,0,0,0,0.5,0.5,"impact potential/gcc/kg co2 eq",1031511029446.99,1053394358177.03,1060676967333.78,1068435987871.9,1088346998238.78
0,0,0,0,0.5,0.5,"impact potential/hc/ctuh",179.75101501314,184.78167931946,186.93006431316,188.867103802166,194.07363930064
0,0,0,0,0.5,0.5,"impact potential/hnc/ctuh",941.636952314457,969.296158165305,979.555391738212,989.964367067704,1016.91410884751
0,0,0,0,0.5,0.5,"impact potential/hrsp/kg pm2.5 eq",1207315421.59757,1220041136.59673,1224857756.84505,1229063078.01398,1242897541.58206
0,0,0,0,0.5,0.5,"impact potential/htox/ctuh",1121.39889761458,1154.39096734595,1166.52545484893,1178.38842784272,1211.21153144856
0,0,0,0,0.5,0.5,"impact potential/ozon/kg cfc11 eq",317292.652837398,323242.83806831,326065.008388286,328826.511773002,335676.646775561
0,0,0,0,0.5,0.5,"impact potential/smog/kg o3 eq",41197029752.3063,42265289223.2459,42766095401.1636,43329916480.1777,44620550832.0085
0,0,0,0,0.5,0.5,"resource use/enrg/mj",10119406941364.9,10467859956145.9,10670773650641.9,10880551238203.3,11195772999067.8
0,0,0,0,0.5,0.5,"resource use/land/m2*yr",3331716625691.39,3370285133667.71,3391170420040.54,3407616756016.22,3436368498797.56
0,0,0,0,0.5,0.5,"resource use/mine/kg",132721313940.311,136670592173.753,138784734632.177,140850722871.012,144226750260.907
0,0,0,0,0.5,0.5,"resource use/nren/mj",8677096471953.61,8990987472732.99,9179992640457.45,9376242010313.38,9667059466419.3
0,0,0,0,0.5,0.5,"resource use/ren/mj",1442082784535.71,1472670169589.49,1485036138651.98,1503929218881.8,1537177971968.99
0,0,0,0,0.5,0.5,"resource use/watr/m3",123191131541.075,124762553334.123,125368514646.415,125814252107.131,127710739044.563
0,0,0,0,1,0,"chemical releases/haps/kg",155950102.767984,159756768.537577,161998866.589724,164901693.750661,169580882.188391
0,0,0,0,1,0,"chemical releases/metl/kg",1371551.03486582,1411223.35330923,1438250.61994185,1466268.19314703,1501970.4618662
0,0,0,0,1,0,"chemical releases/pest/kg",81793974.7424753,81934091.3029455,82024257.7946724,82100237.0205123,82285060.0243903
0,0,0,0,1,0,"economic & social/jobs/jobs",25357970.8582171,25956175.6161472,26350919.2213014,26695299.9758612,27147974.0652907
0,0,0,0,1,0,"economic & social/vadd/$",1707200805597.55,1770910335154.04,1803325665272.4,1843139206010.24,1913997339270.15
0,0,0,0,1,0,"impact potential/acid/kg so2 eq",6362785852.504,6420816611.14366,6448716624.55817,6484043144.38509,6548107892.52096
0,0,0,0,1,0,"impact potential/etox/ctue",2571492462530.86,2577065008635.86,2579724773756.29,2583223815593.95,2591318409311.64
0,0,0,0,1,0,"impact potential/eutr/kg n eq",2913972924.22628,2935389789.70398,2948483514.73836,2959311323.5616,2979878820.30602
0,0,0,0,1,0,"impact potential/gcc/kg co2 eq",1061378139600.76,1076107206908.07,1084995520708.23,1094347741821.96,1111158318045.6
0,0,0,0,1,0,"impact potential/hc/ctuh",184.569205286778,189.085169384283,191.538586749336,193.678885090767,199.175395610813
0,0,0,0,1,0,"impact potential/hnc/ctuh",977.160351537427,1001.66134352133,1014.78169683009,1025.03045209107,1049.81964508904
0,0,0,0,1,0,"impact potential/hrsp/kg pm2.5 eq",1253602655.82738,1261559579.99381,1266550034.52517,1270708031.81456,1279727258.57683
0,0,0,0,1,0,"impact potential/htox/ctuh",1161.57485689421,1190.32654107404,1206.66562012655,1218.65317532569,1249.05949501241
0,0,0,0,1,0,"impact potential/ozon/kg cfc11 eq",345761.904696101,348730.952715647,350076.523520757,351687.139433036,354809.705970051
0,0,0,0,1,0,"impact potential/smog/kg o3 eq",42198231600.8305,43302129213.5508,43766814886.7312,44314032879.502,45760609452.6839
0,0,0,0,1,0,"resource use/enrg/mj",10303674634102.7,10653892128913.6,10853248253883.1,11069378318837.4,11397154483239.8
0,0,0,0,1,0,"resource use/land/m2*yr",3465031354365.98,3483269297083.25,3493028687881.95,3503253049522.03,3519361171329.7
0,0,0,0,1,0,"resource use/mine/kg",136741010044.949,140253313808.982,142119113552.556,144521905998.929,147405776407.339
0,0,0,0,1,0,"resource use/nren/mj",8837932708388.89,9154026815953.59,9340229190707.65,9538284528916.18,9842543401293.31
0,0,0,0,1,0,"resource use/ren/mj",1469887005471.41,1496980808363.89,1509871854502.09,1529689205826.32,1561167825432.92
0,0,0,0,1,0,"resource use/watr/m3",129136824583.537,129945637326.358,130635651553.573,131187075306.257,132625727230.234
0,0,0,0,1,1,"chemical releases/haps/kg",148358999.320893,153291310.895242,155537002.591969,158022365.769833,163756300.25987
0,0,0,0,1,1,"chemical releases/metl/kg",1250072.25388634,1297638.75436528,1325072.10001214,1348013.13653758,1399175.69927507
0,0,0,0,1,1,"chemical releases/pest/kg",70018310.0200111,71709261.8538863,72399511.5342378,73202311.769305,74710992.5653968
0,0,0,0,1,1,"economic & social/jobs/jobs",24729552.6658588,25420602.6300062,25723234.6539175,26059619.6599935,26510369.826771
0,0,0,0,1,1,"economic & social/vadd/$",1657656144309.45,1723356285964.27,1751667107753.07,1786058634631.95,1865300052259.54
0,0,0,0,1,1,"impact potential/acid/kg so2 eq",5964701898.26543,6070331257.00848,6117132800.30795,6158650140.78769,6240481140.57985
0,0,0,0,1,1,"impact potential/etox/ctue",2209191184357.76,2263270478529.81,2283022221748.27,2309003921902.62,2356175529287.39
0,0,0,0,1,1,"impact potential/eutr/kg n eq",2702809600.66306,2738643417.30565,2756283651.83283,2777707222.35348,2811272927.11975
0,0,0,0,1,1,"impact potential/gcc/kg co2 eq",1007398869925.75,1030344003786.49,1038602013156.14,1045804210675.85,1066707095479.15
0,0,0,0,1,1,"impact potential/hc/ctuh",175.171823271295,180.546195207829,182.519851238348,184.702310438124,189.784780708016
0,0,0,0,1,1,"impact potential/hnc/ctuh",908.678499042853,939.255152503114,949.070758612035,959.233292015454,988.664940571636
0,0,0,0,1,1,"impact potential/hrsp/kg pm2.5 eq",1164270073.36894,1180014631.76877,1187306922.99801,1193779310.98459,1210496705.45089
0,0,0,0,1,1,"impact potential/htox/ctuh",1084.07635608994,1119.94685073729,1131.6429414257,1143.8159480629,1178.67282033675
0,0,0,0,1,1,"impact potential/ozon/kg cfc11 eq",294308.709645287,301649.152443421,306197.351527761,310521.763274932,320385.000142243
0,0,0,0,1,1,"impact potential/smog/kg o3 eq",40172384184.917,41352190456.5961,41862005434.8325,42344868984.8604,43570965424.2443
0,0,0,0,1,1,"resource use/enrg/mj",9917720917090.91,10282055185580.2,10500315552137.4,10696341188266.2,11034233506235.4
0,0,0,0,1,1,"resource use/land/m2*yr",3194664197825.42,3257486313268.01,3298836840356.17,3324773515328.07,3372434698753.42
0,0,0,0,1,1,"resource use/mine/kg",129002357077.033,133281255965.562,135627624180.792,137579543598.254,141251936536.566
0,0,0,0,1,1,"resource use/nren/mj",8503986709875.23,8835385542079.94,9034894433644.29,9212503252122.46,9515015895700.22
0,0,0,0,1,1,"resource use/ren/mj",1414434996913.29,1448585534918.72,1461590460955.69,1479770195710.82,1513533194694.38
0,0,0,0,1,1,"resource use/watr/m3",117811832033.043,120172534216.017,120606139135.378,121506832218.375,123411573399.054
0,0,0,0.5,0,0,"chemical releases/haps/kg",150315811.989179,154591117.674016,156567412.476564,159652452.414267,164278407.561764
0,0,0,0.5,0,0,"chemical releases/metl/kg",1345829.9560975,1385493.79779742,1411443.39604923,1438649.79889099,1477960.77992142
0,0,0,0.5,0,0,"chemical releases/pest/kg",81272608.5806969,81408633.1587588,81499617.2933047,81589824.4517967,81800808.1105144
0,0,0,0.5,0,0,"economic & social/jobs/jobs",24397045.0633515,25061219.9857036,25443477.3375928,25809808.3096708,26236310.1078395
0,0,0,0.5,0,0,"economic & social/vadd/$",1647946309890.43,1710077440159.75,1743094515151.94,1782816426487.12,1854165576774.41
0,0,0,0.5,0,0,"impact potential/acid/kg so2 eq",6233209513.70304,6296436148.09259,6322446147.97073,6359915422.97586,6421584438.54607
0,0,0,0.5,0,0,"impact potential/etox/ctue",2553505297864.35,2558838053227.45,2562120600155.73,2565205606469.9,2573586472439.28
0,0,0,0.5,0,0,"impact potential/eutr/kg n eq",2867869757.69781,2887781377.54116,2900833639.59761,2912320744.81232,2936901742.49039
0,0,0,0.5,0,0,"impact potential/gcc/kg co2 eq",1026990182290.89,1042115142021.99,1049474936890.87,1060697041334.08,1077339389107.79
0,0,0,0.5,0,0,"impact potential/hc/ctuh",179.527010413817,184.080312251384,186.300557630071,188.68215901944,193.945067720949
0,0,0,0.5,0,0,"impact potential/hnc/ctuh",954.061657708531,977.20420632703,990.620623808571,1003.45559413552,1027.86080769202
0,0,0,0.5,0,0,"impact potential/hrsp/kg pm2.5 eq",1230812160.15393,1238824018.08694,1243570756.12351,1248000442.4002,1257780108.38745
0,0,0,0.5,0,0,"impact potential/htox/ctuh",1133.61336199945,1161.03443318759,1177.15410096316,1192.3007959932,1221.58027325407
0,0,0,0.5,0,0,"impact potential/ozon/kg cfc11 eq",341786.922099624,344438.058613084,346068.131337018,347562.867946093,350993.419303264
0,0,0,0.5,0,0,"impact potential/smog/kg o3 eq",40856396086.9906,41939309347.347,42487809281.9472,43103212229.8067,44483294914.2778
0,0,0,0.5,0,0,"resource use/enrg/mj",9867341708059.75,10202628164759.8,10413483434110.8,10627175120428.4,10984029281567
0,0,0,0.5,0,0,"resource use/land/m2*yr",3424737569332.38,3441545929223.43,3452483919776.68,3463190491194.18,3480203050553
0,0,0,0.5,0,0,"resource use/mine/kg",132259482041.82,135743068591.729,137833711899.01,140122234041.189,143459482689.624
0,0,0,0.5,0,0,"resource use/nren/mj",8473823291282.3,8780538627139.85,8976874836011.1,9170179920032.27,9503738956353.92
0,0,0,0.5,0,0,"resource use/ren/mj",1387216767771.97,1418895582838.17,1435826181957.89,1456208767695.75,1486612891128.51
0,0,0,0.5,0,0,"resource use/watr/m3",126486230368.635,127400141279.615,127981098611.043,128625676527.385,130087399261.017
0,0,0,0.5,0,0.5,"chemical releases/haps/kg",146234391.001188,151010442.01802,153133287.058652,156031160.014738,161243832.501587
0,0,0,0.5,0,0.5,"chemical releases/metl/kg",1281208.19656254,1324444.01308672,1351067.70318112,1375184.24030924,1423246.29348245
0,0,0,0.5,0,0.5,"chemical releases/pest/kg",74745184.49571,75852905.068926,76274987.6366009,76727080.5633397,77685443.8523507
0,0,0,0.5,0,0.5,"economic & social/jobs/jobs",24073790.8052249,24793296.8157895,25147508.602364,25485133.3792489,25899032.9922896
0,0,0,0.5,0,0.5,"economic & social/vadd/$",1621925029439.75,1685643857354.65,1716440005079.15,1754181009965.62,1827782794179.45
0,0,0,0.5,0,0.5,"impact potential/acid/kg so2 eq",6022892552.25351,6114242489.63313,6144632878.11996,6175264447.98707,6241912293.57424
0,0,0,0.5,0,0.5,"impact potential/etox/ctue",2353170011424.33,2388882287463.38,2401166983241.33,2415910903229.56,2444501104908.31
0,0,0,0.5,0,0.5,"impact potential/eutr/kg n eq",2761417102.01909,2786186362.8018,2801119628.42096,2814774426.66737,2842323284.79493
0,0,0,0.5,0,0.5,"impact potential/gcc/kg co2 eq",998163300222.634,1018639567898.8,1025826190989.6,1034838257234.52,1052459158294.92
0,0,0,0.5,0,0.5,"impact potential/hc/ctuh",174.776190632304,179.648439000163,181.779993806176,183.829819019117,188.852621374361
0,0,0,0.5,0,0.5,"impact potential/hnc/ctuh",918.333183766269,944.23674349331,954.577784099336,967.046320835124,991.705097531361
0,0,0,0.5,0,0.5,"impact potential/hrsp/kg pm2.5 eq",1184854610.71381,1196558019.04211,1201805054.20263,1206420980.82959,1221399988.32367
0,0,0,0.5,0,0.5,"impact potential/htox/ctuh",1093.1973120456,1124.43904748102,1135.99820578971,1150.60257271234,1180.64008366318
0,0,0,0.5,0,0.5,"impact potential/ozon/kg cfc11 eq",312965.697933807,319118.699476786,321924.907411288,324667.836356894,331187.178423585
0,0,0,0.5,0,0.5,"impact potential/smog/kg o3 eq",39844997666.0219,40965204094.2148,41436561105.9087,42115690180.393,43327381698.04
0,0,0,0.5,0,0.5,"resource use/enrg/mj",9645085695277.5,9996313999078.71,10231655846878.6,10430265417713.5,10772811543209.9
0,0,0,0.5,0,0.5,"resource use/land/m2*yr",3289187251710.37,3326644580728.35,3349726385140.97,3365622731785.03,3396133001529.14
0,0,0,0.5,0,0.5,"resource use/mine/kg",128041643914.593,132205239996.486,134425680348.552,136300282714.141,140105231122.395
0,0,0,0.5,0,0.5,"resource use/nren/mj",8288669088725.14,8599338500231.49,8813134572677.79,8998176727968.44,9313722070703.63
0,0,0,0.5,0,0.5,"resource use/ren/mj",1359729944466.03,1393246525136.95,1410801304028.81,1430937193979.62,1459976065630.15
0,0,0,0.5,0,0.5,"resource use/watr/m3",120513172423.427,122128266907.603,122758623372.326,123317103724.676,125233783329.621
0,0,0,0.5,0.5,0,"chemical releases/haps/kg",150265125.276902,154488870.353191,156511481.774335,159578598.183624,164196685.37497
0,0,0,0.5,0.5,0,"chemical releases/metl/kg",1345583.3156441,1385193.23777498,1411078.97813939,1438187.96751193,1477547.88884231
0,0,0,0.5,0.5,0,"chemical releases/pest/kg",81268646.5359828,81403072.3315249,81494327.4164163,81583986.617334,81794263.7991652
0,0,0,0.5,0.5,0,"economic & social/jobs/jobs",24384288.0262469,25043123.9697873,25420354.0711796,25783481.186277,26218056.6656266
0,0,0,0.5,0.5,0,"economic & social/vadd/$",1647278860163.48,1709337539789.9,1742186786960.65,1781842848270.97,1853117151866.92
0,0,0,0.5,0.5,0,"impact potential/acid/kg so2 eq",6232193073.63748,6295179503.93005,6321190955.85859,6358210147.65566,6419717845.82745
0,0,0,0.5,0.5,0,"impact potential/etox/ctue",2553381164281.44,2558718101622.8,2562007613486.89,2565054636603.03,2573344953608.52
0,0,0,0.5,0.5,0,"impact potential/eutr/kg n eq",2867359747.50376,2887157942.87304,2900049902.96319,2911450923.64537,2936128444.7234
0,0,0,0.5,0.5,0,"impact potential/gcc/kg co2 eq",1026711350132.93,1041850315801.53,1049201521462.65,1060200253466.87,1076919194252.68
0,0,0,0.5,0.5,0,"impact potential/hc/ctuh",179.486189477916,184.020988964653,186.211123782049,188.591761255905,193.859905452588
0,0,0,0.5,0.5,0,"impact potential/hnc/ctuh",953.82199588362,976.875020199164,990.244974612032,1002.9953618412,1027.28469276289
0,0,0,0.5,0.5,0,"impact potential/hrsp/kg pm2.5 eq",1230632545.34026,1238585044.28999,1243376647.08404,1247636164.47642,1257474859.69215
0,0,0,0.5,0.5,0,"impact potential/htox/ctuh",1133.33279790351,1160.69723168648,1176.57120195724,1191.68082571883,1220.90762014667
0,0,0,0.5,0.5,0,"impact potential/ozon/kg cfc11 eq",341746.446032417,344384.727681022,345994.802716838,347497.783173124,350925.81379676
0,0,0,0.5,0.5,0,"impact potential/smog/kg o3 eq",40844207870.6208,41927175491.4025,42472329544.0839,43086243124.2823,44468205402.6985
0,0,0,0.5,0.5,0,"resource use/enrg/mj",9863089223135.26,10195781924326.9,10407758835708.5,10618003665360.1,10973669691044.1
0,0,0,0.5,0.5,0,"resource use/land/m2*yr",3424266185935.91,3440986871509.13,3451634794288.92,3462551366435.61,3479500879446.82
0,0,0,0.5,0.5,0,"resource use/mine/kg",132206417993.499,135675567170.895,137723692107.603,140020965775.747,143365104429.545
0,0,0,0.5,0.5,0,"resource use/nren/mj",8470288276406.73,8774878363979.71,8970089997164.51,9160896951355.21,9494194971899.76
0,0,0,0.5,0.5,0,"resource use/ren/mj",1386637929067.98,1417935930086.03,1435107824157.7,1455347643807.06,1485801701293.95
